timestamp,container,cpu_pct,mem_usage_mb,mem_limit_mb,net_in_kb,net_out_kb
18:45:39,filebeat-collector,7.30,207.1,512,872,126
18:45:39,logs-siger-consumer-es-logstash-sink-1,2.03,542.8,768,25.5,71.4
18:45:39,kibana,0.20,443.9,512,1.37,5.51
18:45:39,elasticsearch,1.70,1.267,1.27,5.54,1.25
18:45:39,kafka-ui,3.56,260.7,15.15,16,1.94
18:45:39,zookeeper,0.12,92.74,15.15,16.5,7.68
18:45:45,filebeat-collector,8.13,208.4,512,872,126
18:45:45,logs-siger-consumer-es-logstash-sink-1,2.98,542.9,768,25.5,71.4
18:45:45,kibana,1.44,444.8,512,1.39,5.57
18:45:45,elasticsearch,8.90,1.267,1.27,5.59,1.27
18:45:45,kafka-ui,0.08,260.4,15.15,16,1.94
18:45:45,zookeeper,0.12,92.74,15.15,16.5,7.68
18:45:50,filebeat-collector,5.92,208.7,512,872,126
18:45:50,logs-siger-consumer-es-logstash-sink-1,12.12,543.9,768,25.8,73.9
18:45:50,kibana,1.60,444.3,512,1.39,5.61
18:45:50,elasticsearch,20.55,1.267,1.27,5.64,1.28
18:45:50,kafka-ui,0.07,260.4,15.15,16,1.94
18:45:50,zookeeper,0.11,92.74,15.15,16.5,7.68
18:45:56,filebeat-collector,0.00,209.1,512,872,126
18:45:56,logs-siger-consumer-es-logstash-sink-1,7.06,543.6,768,25.8,73.9
18:45:56,kibana,0.37,444.3,512,1.4,5.66
18:45:56,elasticsearch,11.19,1.267,1.27,5.69,1.29
18:45:56,kafka-ui,0.08,260.4,15.15,16,1.94
18:45:56,zookeeper,0.12,92.74,15.15,16.5,7.68
18:46:02,filebeat-collector,0.12,209.4,512,872,126
18:46:02,logs-siger-consumer-es-logstash-sink-1,1.59,543.4,768,26.1,76.4
18:46:02,kibana,1.24,444.9,512,1.41,5.7
18:46:02,elasticsearch,7.47,1.267,1.27,5.74,1.3
18:46:02,kafka-ui,2.09,260.9,15.15,16,1.94
18:46:02,zookeeper,0.12,92.74,15.15,16.5,7.68
18:46:07,filebeat-collector,0.26,210.3,512,872,126
18:46:07,logs-siger-consumer-es-logstash-sink-1,3.69,543.7,768,27.6,79.9
18:46:07,kibana,4.07,444.2,512,1.41,5.73
18:46:07,elasticsearch,31.93,1.267,1.27,5.79,1.3
