timestamp,container,cpu_pct,mem_usage_mb,mem_limit_mb,net_in_kb,net_out_kb
18:43:47,logs-siger-consumer-es-logstash-sink-1,3.06,536.2,768,17.4,40.1
18:43:47,kibana,0.50,436.7,512,1.2,4.61
18:43:47,elasticsearch,2.43,1.266,1.27,4.61,1.07
18:43:47,control-center,0.26,95.16,15.15,5.64,1.91
18:43:47,kafka-ui,0.09,260.4,15.15,15.9,1.94
18:43:47,zookeeper,0.16,92.74,15.15,16.4,7.68
18:44:44,logs-siger-consumer-es-logstash-sink-1,5.14,538.2,768,21.6,57
18:44:44,kibana,61.19,443.5,512,1.28,5.08
18:44:44,elasticsearch,9.27,1.267,1.27,5.09,1.17
18:44:44,control-center,0.38,95.83,15.15,5.64,1.91
18:44:44,kafka-ui,0.18,260.4,15.15,15.9,1.94
18:44:44,zookeeper,0.24,92.74,15.15,16.4,7.68
18:44:53,filebeat-collector,31.87,49.45,512,872,126
18:44:53,logs-siger-consumer-es-logstash-sink-1,16.33,538.4,768,21.7,57
18:44:53,kibana,0.94,444.2,512,1.29,5.13
18:44:53,elasticsearch,21.84,1.267,1.27,5.14,1.18
18:44:53,control-center,0.42,96.1,15.15,5.76,1.91
18:44:53,kafka-ui,0.11,260.4,15.15,16,1.94
18:44:53,zookeeper,0.27,92.74,15.15,16.5,7.68
18:44:59,filebeat-collector,9.69,207,512,872,126
18:44:59,logs-siger-consumer-es-logstash-sink-1,2.70,539,768,22,59.5
18:44:59,kibana,0.87,444.5,512,1.3,5.18
18:44:59,elasticsearch,1.88,1.267,1.27,5.19,1.18
18:44:59,control-center,16.29,96.03,15.15,5.76,1.91
18:44:59,kafka-ui,0.12,260.4,15.15,16,1.94
18:44:59,zookeeper,0.17,92.74,15.15,16.5,7.68
18:45:05,filebeat-collector,8.21,206.5,512,872,126
18:45:05,logs-siger-consumer-es-logstash-sink-1,5.98,539.5,768,22,59.5
18:45:05,kibana,0.63,444.1,512,1.31,5.23
18:45:05,elasticsearch,0.92,1.267,1.27,5.24,1.19
18:45:05,kafka-ui,0.08,260.4,15.15,16,1.94
18:45:05,zookeeper,0.14,92.74,15.15,16.5,7.68
18:45:11,filebeat-collector,8.20,206.8,512,872,126
18:45:11,logs-siger-consumer-es-logstash-sink-1,5.35,540.4,768,23.5,62.9
18:45:11,kibana,2.58,444.1,512,1.32,5.28
18:45:11,elasticsearch,2.87,1.266,1.27,5.29,1.2
18:45:11,kafka-ui,0.08,260.4,15.15,16,1.94
18:45:11,zookeeper,0.13,92.74,15.15,16.5,7.68
18:45:16,filebeat-collector,0.00,206.6,512,872,126
18:45:16,logs-siger-consumer-es-logstash-sink-1,23.78,540.4,768,23.8,65.4
18:45:16,kibana,1.56,444.1,512,1.33,5.33
18:45:16,elasticsearch,1.89,1.267,1.27,5.33,1.21
18:45:16,kafka-ui,0.09,260.4,15.15,16,1.94
18:45:16,zookeeper,0.15,92.74,15.15,16.5,7.68
